dialect,model,phone_error_rates,phone_feature_error_rates,feature_error_rates
DR6,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.25551397889431826,2.702083333333333,0.1778431013387628
DR7,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.25145481167805245,2.626291666666667,0.18341144403556645
DR8,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.24930187649594934,2.598358585858586,0.18373698692689328
DR1,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6308726760269908,6.175850340136055,0.2818230371433167
DR2,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6198716469071501,6.12826797385621,0.2813612620421208
DR3,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6270865731726698,6.0931372549019605,0.28327294794483454
DR4,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6474695330229288,6.304666666666667,0.28657115819780365
DR5,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6439865777028663,6.29812925170068,0.289934315857204
DR6,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6319353529598619,6.217663043478261,0.2818171562795311
DR7,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6126869895183201,6.07625,0.2777359554217667
DR8,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6198730636549781,6.129797979797979,0.27931968669211443
DR1,openai_whisper-medium.en_to_epitran,0.3723444985903535,3.959438775510204,0.21968170441656626
DR2,openai_whisper-medium.en_to_epitran,0.3540605029280307,3.7488970588235295,0.2134794193726003
DR3,openai_whisper-medium.en_to_epitran,0.357860103279502,3.70359477124183,0.21009170148060144
DR4,openai_whisper-medium.en_to_epitran,0.3619769599119658,3.788916666666667,0.20996501685747318
DR5,openai_whisper-medium.en_to_epitran,0.36795845622815304,3.938477891156462,0.20844290979052063
DR6,openai_whisper-medium.en_to_epitran,0.3610286658520667,3.758605072463768,0.2096313153944215
DR7,openai_whisper-medium.en_to_epitran,0.3594280480924893,3.721458333333333,0.20720810504371492
DR8,openai_whisper-medium.en_to_epitran,0.3651104360597079,3.918939393939394,0.20565754554991472
DR1,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.10946477216483587,1.8343537414965985,0.16995314820867663
DR2,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11007835860532847,1.9959150326797386,0.1875901262955012
DR3,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.1063456284822722,1.9749183006535946,0.1871745407032222
DR4,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11467859570794364,2.008708333333333,0.18716800184986124
DR5,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11253608943127089,1.948809523809524,0.1792250868005466
DR6,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.10837055976354773,1.8479166666666664,0.16979843335400124
DR7,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11047487041994143,1.96075,0.17787060165861582
DR8,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11362450276825135,2.071717171717172,0.19650541663645682
DR1,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_simplified,0.1695990978548109,2.0534863945578232,0.18308556125497902
DR2,excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_simplified,0.16708551207012784,2.1457924836601308,0.19718743271450376
